Film,U.S. release date,Box office gross Domestic (U.S. and Canada ),Box office gross Other territories,Box office gross Worldwide,Budget,MCU,Phase,Distributor,MPAA Rating,Minutes,Franchise,Character Family,Domestic %,Gross to Budget,Rotten Tomatoes Critic Score,Male/Female-led,Year,Inflation Adjusted Worldwide Gross,Inflation Adjusted Budget,2.5x prod,Break Even
Superman,1978-12-15,134478449.0,166000000.0,300478449.0,55000000.0,False,0,Warner Bros.,PG,143,DC,Superman,45.0,5.46,94.0,Male,1978,1404237104.0,257033544.0,137500000.0,Success
Superman II,1981-06-19,108185706.0,108200000.0,216385706.0,54000000.0,False,0,Warner Bros.,PG,127,DC,Superman,50.0,4.01,83.0,Male,1981,725336273.0,181010842.0,135000000.0,Success
Superman III,1983-06-17,59950623.0,20300000.0,80250623.0,39000000.0,False,0,Warner Bros.,PG,125,DC,Superman,75.0,2.06,29.0,Male,1983,245506947.0,119310861.0,97500000.0,Flop
Supergirl,1984-11-21,14296438.0,0.0,14296438.0,35000000.0,False,0,Tri-Star Pictures,PG,124,DC,Superman,100.0,0.41,8.0,Female,1984,41926345.0,102642497.0,87500000.0,Flop
Howard the Duck,1986-08-01,16295774.0,21667000.0,37962774.0,37000000.0,False,0,Universal Pictures,PG,110,Marvel,Howard the Duck,43.0,1.03,13.0,Male,1986,37962774.0,37000000.0,92500000.0,Flop
Superman IV: The Quest for Peace,1987-07-24,15681020.0,14600000.0,30281020.0,17000000.0,False,0,Warner Bros.,PG,90,DC,Superman,52.0,1.78,10.0,Male,1987,81220728.0,45597948.0,42500000.0,Flop
The Return of Swamp Thing,1989-05-12,192816.0,82112.0,274928.0,3000000.0,False,0,Millimeter Films,PG-13,88,DC,Swamp Thing,70.0,0.09,44.0,Male,1989,675573.0,7371813.0,7500000.0,Flop
Batman,1989-06-23,251409241.0,160160000.0,411569241.0,35000000.0,False,0,Warner Bros.,PG-13,126,DC,Batman,61.0,11.76,76.0,Male,1989,1011337092.0,86004479.0,87500000.0,Success
The Punisher,1989-10-05,0.0,30000000.0,30000000.0,9000000.0,False,0,New World International,R,89,Marvel,Punisher,0.0,3.33,25.0,Male,1989,30000000.0,9000000.0,22500000.0,Success
Batman Returns,1992-06-19,162924631.0,104010057.0,266934688.0,80000000.0,False,0,Warner Bros.,PG-13,126,DC,Batman,61.0,3.34,81.0,Male,1992,579725033.0,173742884.0,200000000.0,Success
Batman: Mask of the Phantasm,1993-12-25,5635204.0,213000.0,5848204.0,5600000.0,False,0,Warner Bros.,PG,76,DC,Batman,96.0,1.04,82.0,Male,1993,12331882.0,11808504.0,14000000.0,Flop
Batman Forever,1995-06-16,184069126.0,152498032.0,336567158.0,100000000.0,False,0,Warner Bros.,PG-13,121,DC,Batman,55.0,3.37,40.0,Male,1995,672916968.0,199935422.0,250000000.0,Success
Batman & Robin,1997-06-20,107353792.0,130900196.0,238253988.0,125000000.0,False,0,Warner Bros.,PG-13,125,DC,Batman,45.0,1.91,11.0,Male,1997,452313815.0,237306529.0,312500000.0,Flop
Steel,1997-08-15,1710972.0,91000.0,1801972.0,16000000.0,False,0,Warner Bros.,PG-13,97,DC,Superman,95.0,0.11,12.0,Male,1997,3420958.0,30375236.0,40000000.0,Flop
